id,name,province_id
1170,กระบุรี,90
1353,กงไกรลาศ,114
901,จะนะ,94
1597,กันทรลักษ์,123
1759,เมืองศรีสะเกษ,123
986,สังขะ,124
1157,โนนคูณ,123
1040,ท่าตูม,124
882,ปง,87
1587,เวียงแก่น,126
1382,ท่าวังผา,82
885,จุน,87
1008,ขุนหาญ,123
1662,เมืองระยอง,91
1426,รัตนบุรี,124
947,ท่าแพ,84
1281,ศิลาลาด,123
1535,ปรางค์กู่,123
893,ลี้,93
1626,ลำทะเมนชัย,141
895,สวี,86
1248,ปะนาเระ,110
1609,น้ำเกลี้ยง,123
1377,ทุ่งช้าง,82
1655,เจาะไอร้อง,118
1599,กันทรารมย์,123
951,นาทวี,94
923,เซกา,100
1411,ปักธงชัย,141
1267,ราษีไศล,123
1443,ศรีรัตนะ,123
1006,ขุนตาล,126
915,มายอ,110
1604,ตะกั่วทุ่ง,88
1079,ปราสาท,124
993,อุทัย,154
989,สำโรง,149
1159,โนนสูง,141
1278,ศรีราชา,96
1751,เขวาสินรินทร์,124
900,ขลุง,117
1581,เมืองน่าน,82
886,ปัว,82
889,พนม,150
890,พนา,144
1233,บ้านฉาง,91
1668,แก่งหางแมว,117
1400,บ้านม่วง,105
1117,สองแคว,82
956,บรบือ,133
1058,น้ำยืน,149
1445,ศีขรภูมิ,124
1723,คำเขื่อนแก้ว,89
1760,เมืองสุรินทร์,124
1689,ปทุมราชวงศา,144
1039,ท่าชนะ,150
974,ยะรัง,110
894,สนม,124
1574,เชียงม่วน,87
1402,บ้านหลวง,82
897,ฮอด,138
1622,ม่วงสามสิบ,149
898,กะปง,88
1732,อุทุมพรพิสัย,123
1438,วาปีปทุม,133
1009,ครบุรี,141
1672,โกสุมพิสัย,133
1364,คำตากล้า,105
1431,ลืออำนาจ,144
1095,พังโคน,105
1163,โพนทอง,122
1702,สว่างแดนดิน,105
1498,โซ่พิสัย,100
1785,โพธิ์ศรีสุวรรณ,123
1673,โนนนารายณ์,124
1013,คำม่วง,129
1675,กระแสสินธุ์,94
1175,ขุขันธ์,123
1773,เมืองกาฬสินธุ์,129
1195,ทรายมูล,89
1539,พรรณานิคม,105
1717,เมืองลพบุรี,104
1469,ห้วยแถลง,141
936,กะทู้,103
1097,พุนพิน,150
1600,กาญจนดิษฐ์,150
931,แกลง,91
1332,เสลภูมิ,122
1323,เดชอุดม,149
1204,ท่าศาลา,152
1716,เมืองภูเก็ต,103
979,รามัน,83
1561,สุไหงปาดี,118
1088,ผักไห่,154
1456,หนองนาคำ,106
899,ขนอม,152
1387,บางปะหัน,154
1331,เวียงสา,82
1774,เมืองกำแพงเพชร,130
1807,เมืองนครศรีธรรมราช,152
1012,คำชะอี,121
1237,บ้านผือ,125
1467,ห้วยผึ้ง,129
1090,พนมไพร,122
1365,คุระบุรี,88
1269,ลำลูกกา,119
943,ซำสูง,106
1559,สะบ้าย้อย,94
926,เทิง,126
1061,บัวเชด,124
