id,name,code,district_id
896,จ.ป.ร.,85110,1170
897,กง,64170,1353
898,คู,90130,901
899,ชำ,33110,1597
900,ซำ,33000,1759
901,ดม,32150,986
902,บก,33250,1157
903,บะ,32120,1040
904,ปง,56140,882
905,ปอ,57310,1587
906,ยม,55140,1382
907,ลอ,56150,885
908,สิ,33150,1008
909,เพ,21000,1662
910,แก,32130,1426
911,แค,90130,901
912,แป-ระ,91150,947
913,กุง,33160,1281
914,กู่,33170,1535
915,ก้อ,51110,893
916,ขุย,30270,1626
917,ครน,86130,895
918,ควน,94130,1248
919,ควร,56140,882
920,คูบ,33130,1609
921,งอบ,55130,1377
922,งิม,56140,882
923,จวบ,96130,1655
924,จาน,33130,1599
925,จาน,33000,1759
926,จุน,56150,885
927,ฉาง,90160,951
928,ซาง,38150,923
929,ดอน,94130,1248
930,ดอน,30150,1411
931,ดูน,33130,1599
932,ดู่,33160,1267
933,ดู่,33130,1599
934,ดู่,33170,1535
935,ตูม,33170,1535
936,ตูม,33240,1443
937,ตูม,30150,1411
938,ต้า,57340,1006
939,ถนน,94140,915
940,ถ้ำ,82130,1604
941,ทมอ,32140,1079
942,ทาม,33130,1599
943,ธนู,13000,993
944,บอน,34360,989
945,บิง,30160,1159
946,บึง,20110,1278
947,บึง,32000,1751
948,บ่อ,22110,900
949,บ่อ,55000,1581
950,ปอน,55130,1377
951,ปัว,55120,886
952,พนม,84250,889
953,พนา,37180,890
954,พลา,21130,1233
955,พวา,22160,1668
956,มาย,47140,1400
957,ยอด,55160,1117
958,ยาง,44130,956
959,ยาง,34260,1058
960,ยาง,33130,1599
961,ยาง,32110,1445
962,ย่อ,35110,1723
963,ราม,32000,1760
964,ริม,55140,1382
965,รุง,33110,1597
966,ลี้,51110,893
967,ลือ,37110,1689
968,วัง,84170,1039
969,วัด,94160,974
970,สนม,32160,894
971,สมอ,33170,1535
972,สระ,56160,1574
973,สวด,55190,1402
974,สวี,86130,895
975,อวน,55120,886
976,ออย,56140,882
977,ฮอด,50240,897
978,เตย,34140,1622
979,เหล,82170,898
980,แขม,33120,1732
981,แข้,33120,1732
982,แคน,44120,1438
983,แคน,32160,894
984,แงง,55120,886
985,แชะ,30250,1009
986,แตล,32110,1445
987,แต้,33120,1732
988,แพง,44140,1672
989,แพด,47250,1364
990,แมด,37000,1431
991,แร่,47160,1095
992,และ,55130,1377
993,แวง,45110,1163
994,แวง,47110,1702
995,โซง,34260,1058
996,โซ่,38170,1498
997,โดด,33120,1785
998,โนน,32130,1673
999,โพน,46180,1013
1000,โรง,90270,1675
1001,โสน,33140,1175
1002,ไผ่,46000,1773
1003,ไผ่,35170,1195
1004,ไผ่,33160,1267
1005,ไผ่,32130,1426
1006,ไพร,33150,1008
1007,ไพล,30270,1626
1008,ไพล,32140,1079
1009,ไร่,47130,1539
1010,กกโก,13240,1717
1011,กงรถ,30240,1469
1012,กมลา,83120,936
1013,กรูด,84130,1097
1014,กรูด,84160,1600
1015,กร่ำ,21110,931
1016,กลาง,45120,1332
1017,กลาง,34160,1323
1018,กลาย,80160,1204
1019,กอลำ,94160,974
1020,กะปง,82170,898
1021,กะรน,83000,1716
1022,กาลอ,95140,979
1023,กาวะ,96140,1561
1024,กุฎี,13120,1088
1025,ขนวน,40150,1456
1026,ขนอม,80210,899
1027,ขนุน,33110,1597
1028,ขยาย,13220,1387
1029,ขลุง,22110,900
1030,ขวาว,45120,1332
1031,ขึ่ง,55110,1331
1032,คณฑี,62000,1774
1033,คลัง,80000,1807
1034,คอโค,32000,1760
1035,คำบก,49110,1012
1036,คำบง,41160,1237
1037,คำบง,46240,1467
1038,คำผง,32130,1673
1039,คำไฮ,45140,1090
1040,คุระ,82150,1365
1041,คูคต,12130,1269
1042,คูคำ,40170,943
1043,คูหา,90210,1559
1044,งิ้ว,30240,1469
1045,งิ้ว,57160,926
1046,งิ้ว,30150,1411
1047,จรัส,32230,1061
1048,จริม,53110,1042
1049,จอหอ,30000,1795
1050,จะกง,33140,1175
1051,จำปา,13130,1206
1052,จำปี,41230,1277
1053,ฉมัน,22150,972
1054,ฉลอง,83000,1716
